,CASENUM,ATTORNEY,CLMSEX,CLMINSUR,SEATBELT,CLMAGE,LOSS
0,5,1,0.0,1.0,0.0,50.0,34.94
1,3,0,1.0,0.0,0.0,18.0,0.891
2,66,0,0.0,1.0,0.0,5.0,0.33
3,70,1,0.0,1.0,1.0,31.0,0.037
4,96,0,0.0,1.0,0.0,30.0,0.038
5,97,1,1.0,1.0,0.0,35.0,0.309
6,10,1,0.0,1.0,0.0,9.0,3.538
7,36,1,1.0,1.0,0.0,34.0,4.881
8,51,0,1.0,1.0,0.0,60.0,0.874
9,55,0,0.0,1.0,0.0,,0.35
10,61,1,1.0,1.0,0.0,37.0,6.19
11,148,1,0.0,1.0,0.0,41.0,19.61
12,150,0,0.0,1.0,0.0,7.0,1.678
13,150,1,1.0,1.0,0.0,40.0,0.673
14,169,0,1.0,1.0,0.0,37.0,0.143
15,171,0,1.0,0.0,0.0,9.0,0.053
16,334,0,1.0,1.0,0.0,58.0,0.05
17,360,1,0.0,1.0,0.0,58.0,0.758
18,376,0,0.0,1.0,0.0,3.0,0.0
19,401,1,1.0,1.0,0.0,38.0,4.754
20,479,1,0.0,,0.0,37.0,3.1
21,480,0,1.0,1.0,0.0,39.0,0.13
22,550,1,0.0,0.0,0.0,38.0,16.161
23,569,1,0.0,,0.0,30.0,0.609
24,580,0,0.0,1.0,0.0,54.0,10.04
25,608,0,1.0,1.0,0.0,3.0,0.787
26,603,0,0.0,1.0,0.0,61.0,0.15
27,606,1,0.0,1.0,0.0,0.0,0.405
28,607,0,0.0,1.0,0.0,40.0,0.405
29,630,1,0.0,1.0,0.0,,0.595
30,640,0,1.0,1.0,0.0,16.0,3.994
31,640,0,0.0,1.0,0.0,,0.337
32,685,0,0.0,1.0,0.0,9.0,0.603
33,700,1,1.0,1.0,0.0,35.0,1.673
34,710,1,1.0,1.0,0.0,35.0,4.751
35,766,1,1.0,1.0,0.0,17.0,3.538
36,775,1,1.0,0.0,0.0,41.0,3.185
37,805,1,1.0,1.0,0.0,50.0,3.7
38,819,0,0.0,1.0,0.0,33.0,0.386
39,838,1,0.0,1.0,0.0,9.0,1.97
40,851,0,0.0,1.0,0.0,34.0,0.904
41,871,1,1.0,0.0,0.0,33.0,8.09
42,905,1,1.0,1.0,0.0,46.0,8.09
43,941,0,1.0,1.0,0.0,55.0,13.1
44,971,0,0.0,1.0,0.0,5.0,0.46
45,61,0,1.0,1.0,0.0,,3.981
46,63,1,0.0,0.0,0.0,16.0,1.74
47,78,0,0.0,1.0,0.0,1.0,0.0
48,91,1,0.0,1.0,0.0,,1.003
49,0,1,0.0,1.0,0.0,40.0,3.1
50,4,1,1.0,1.0,0.0,19.0,3.777
51,54,0,0.0,1.0,0.0,54.0,0.975
52,70,0,1.0,1.0,0.0,,0.497
53,86,0,1.0,1.0,0.0,,0.335
